b,a,delay rising 
1,2,-3.11316E-09
3,2,-3.06033E-09
5,2,-3.1095E-09
7,2,-3.09786E-09
9,2,-2.99331E-09
11,2,-3.04287E-09
13,2,-3.04768E-09
15,2,-2.98918E-09
17,2,-2.88331E-09
19,2,-3.07658E-09
21,2,-2.88793E-09
23,2,-3.05062E-09
25,2,-2.7964E-09
27,2,-2.94147E-09
29,2,-3.08054E-09
31,2,-3.22104E-09
33,2,-2.84285E-09
35,2,-2.95894E-09
37,2,-3.07452E-09
39,2,-3.18963E-09
1,4,-3.01481E-09
3,4,-3.04696E-09
5,4,-3.08622E-09
7,4,-3.10964E-09
9,4,-2.98289E-09
11,4,-3.00911E-09
13,4,-3.00592E-09
15,4,-2.98594E-09
17,4,-2.9431E-09
19,4,-3.10465E-09
21,4,-3.02171E-09
23,4,-2.91539E-09
25,4,-3.04738E-09
27,4,-2.90451E-09
29,4,-3.0343E-09
31,4,-3.15166E-09
33,4,-2.9559E-09
35,4,-3.06078E-09
37,4,-3.16176E-09
39,4,-2.93027E-09
1,6,-3.084E-09
3,6,-2.98456E-09
5,6,-2.96674E-09
7,6,-3.00169E-09
9,6,-3.1033E-09
11,6,-3.07819E-09
13,6,-3.05314E-09
15,6,-3.02063E-09
17,6,-2.97899E-09
19,6,-3.09983E-09
21,6,-3.03627E-09
23,6,-2.95273E-09
25,6,-3.06508E-09
27,6,-2.96349E-09
29,6,-3.06525E-09
31,6,-2.93881E-09
33,6,-3.03303E-09
35,6,-3.12357E-09
37,6,-2.96351E-09
39,6,-3.04909E-09
1,8,-3.02541E-09
3,8,-2.99779E-09
5,8,-2.99363E-09
7,8,-3.07436E-09
9,8,-3.103E-09
11,8,-3.02894E-09
13,8,-2.96784E-09
15,8,-3.06334E-09
17,8,-3.00465E-09
19,8,-3.10613E-09
21,8,-3.04147E-09
23,8,-2.96274E-09
25,8,-3.05335E-09
27,8,-2.95821E-09
29,8,-3.04863E-09
31,8,-2.9368E-09
33,8,-3.02025E-09
35,8,-3.10343E-09
37,8,-2.96946E-09
39,8,-3.0473E-09
1,10,-3.11601E-09
3,10,-3.01975E-09
5,10,-3.07562E-09
7,10,-3.08261E-09
9,10,-3.05497E-09
11,10,-3.07852E-09
13,10,-2.98719E-09
15,10,-3.05283E-09
17,10,-2.97742E-09
19,10,-3.05462E-09
21,10,-2.97692E-09
23,10,-3.05821E-09
25,10,-2.97109E-09
27,10,-3.05324E-09
29,10,-2.95374E-09
31,10,-3.03036E-09
