b,a,phase noise
1,2,-73.47057743
3,2,-75.95195488
5,2,-77.54693421
7,2,-78.83279203
9,2,-79.75863685
11,2,-80.41663758
13,2,-81.42300524
15,2,-81.6122317
17,2,-82.62353329
19,2,-83.31282691
21,2,-82.42818513
23,2,-83.39372624
25,2,-84.76934398
27,2,-85.0513541
29,2,-85.81573527
31,2,-85.8461323
33,2,-86.32491666
35,2,-87.00841114
37,2,-87.00171004
39,2,-87.19338584
1,4,-74.58103853
3,4,-76.40787927
5,4,-77.68997507
7,4,-78.62770915
9,4,-79.45974379
11,4,-80.15361503
13,4,-80.76791741
15,4,-81.34605487
17,4,-81.81836921
19,4,-82.33924444
21,4,-82.75731416
23,4,-83.23388075
25,4,-83.52852174
27,4,-83.83169431
29,4,-84.39099656
31,4,-84.67163686
33,4,-84.9823014
35,4,-85.16637183
37,4,-85.24193706
39,4,-85.8688585
1,6,-75.70145822
3,6,-77.15481513
5,6,-78.15238494
7,6,-78.99622365
9,6,-79.68990112
11,6,-80.33003111
13,6,-80.871755
15,6,-81.33764681
17,6,-81.78116821
19,6,-82.2100055
21,6,-82.55663731
23,6,-82.91658358
25,6,-83.26576235
27,6,-83.5336925
29,6,-83.85893077
31,6,-84.1480431
33,6,-84.53411915
35,6,-84.78824218
37,6,-84.84595569
39,6,-85.19149547
1,8,-76.65650279
3,8,-77.69448438
5,8,-78.62741408
7,8,-79.37114929
9,8,-80.01591747
11,8,-80.58166081
13,8,-81.03269848
15,8,-81.47468935
17,8,-81.93096287
19,8,-82.31300109
21,8,-82.60960755
23,8,-82.91824387
25,8,-83.2568479
27,8,-83.57278146
29,8,-83.85753868
31,8,-84.06722077
33,8,-84.37250534
35,8,-84.53803042
37,8,-84.88765604
39,8,-85.05905692
1,10,-77.60839867
3,10,-78.20749785
5,10,-79.14095558
7,10,-79.73634263
9,10,-80.33629233
11,10,-80.84695053
13,10,-81.2751412
15,10,-81.68416238
17,10,-82.10877883
19,10,-82.40719296
21,10,-82.72209072
23,10,-83.03270934
25,10,-83.32228813
27,10,-83.5879343
29,10,-83.84673933
31,10,-84.13733572
33,10,-84.34008554
35,10,-84.62120294
37,10,-84.82366306
39,10,-84.99428514
1,12,-78.27344143
3,12,-78.75276202
5,12,-79.54602452
7,12,-80.09264781
9,12,-80.65874605
11,12,-81.12059259
13,12,-81.54073345
15,12,-81.9450129
17,12,-82.2950009
19,12,-82.58630931
21,12,-82.87245598
23,12,-83.22654207
25,12,-83.44346643
27,12,-83.75254782
29,12,-83.96780127
31,12,-84.23902397
33,12,-84.40379152
35,12,-84.61016825
37,12,-84.82398278
39,12,-85.02782991
1,14,-79.12359648
3,14,-79.17899254
5,14,-79.81558492
7,14,-80.50331119
9,14,-80.97230869
11,14,-81.35835248
13,14,-81.78067517
15,14,-82.17628769
17,14,-82.45746972
19,14,-82.766636
21,14,-83.08334309
23,14,-83.35011466
25,14,-83.57885544
27,14,-83.85780903
29,14,-84.10915105
31,14,-84.25877167
33,14,-84.48554107
35,14,-84.68626491
37,14,-84.88286764
39,14,-85.10274153
1,16,-79.75001801
3,16,-79.60859354
5,16,-80.25600182
7,16,-80.74226358
9,16,-81.25956629
11,16,-81.61174232
13,16,-81.98894162
15,16,-82.34649094
17,16,-82.66492195
19,16,-82.98029565
21,16,-83.25303942
23,16,-83.48531245
25,16,-83.76748827
27,16,-83.99599964
29,16,-84.19338727
31,16,-84.39556934
33,16,-84.59100835
35,16,-84.83907539
37,16,-85.02293688
39,16,-85.18845609
1,18,-80.12883879
3,18,-79.98910394
5,18,-80.49699591
7,18,-81.08151651
9,18,-81.48363926
11,18,-81.89532216
13,18,-82.20575212
15,18,-82.56299499
17,18,-82.87025829
19,18,-83.15149577
21,18,-83.41689888
23,18,-83.66477811
25,18,-83.89336158
27,18,-84.13470722
29,18,-84.36447829
31,18,-84.515136
33,18,-84.71449085
35,18,-84.94488262
37,18,-85.07583436
39,18,-85.2917496
1,20,-80.85051122
3,20,-80.35234717
5,20,-80.84263091
7,20,-81.24811892
9,20,-81.69564169
11,20,-82.14567304
13,20,-82.46985904
15,20,-82.75223204
17,20,-83.04710971
19,20,-83.33332621
21,20,-83.60096095
23,20,-83.80346636
25,20,-84.03558819
27,20,-84.27128141
29,20,-84.44272901
31,20,-84.63206351
33,20,-84.82135222
